sample,SA,NMV,N,T,CO2ad
PFK-750-1.5,2292,0.89,4.01,273,5.36
PFK-750-2,2330,0.88,2.92,273,5.4
LC,3.82,0.13,1.55,273,1.16
LCM-500-1,687,0.33,7.69,273,4.04
LCM-500-2,1392,0.58,5.53,273,5.22
LCM-500-3,1491,0.63,3.97,273,5.14
LCM-550-1,1122,0.48,6.83,273,4.78
LCM-550-2,1487,0.61,4.09,273,5.44
LCM-550-3,2074,0.79,3.01,273,5.89
LCM-600-1,1272,0.57,4.97,273,5.05
LCM-600-2,2182,0.78,3.67,273,5.04
LCM-600-3,2340,0.81,2.54,273,5.36
LCM-650-1,1500,0.61,3.21,273,4.75
LCM-650-2,1860,0.65,2.29,273,4.24
LCM-650-3,2124,0.69,1.26,273,4.05
SC,17,0.17,3.38,273,0.85
SC-600-2,935,0.46,3.68,273,5.27
SC-600-4,1441,0.55,5.16,273,5.75
SC-650-2,1117,0.63,5.38,273,6.36
SC-650-4,1482,0.73,5.06,273,5.62
SC-700-2,1408,0.67,3.81,273,5.57
SC-700-4,1577,0.74,2.6,273,5.5
C,21,0.17,0.26,273,2
HC,38,0.17,0.34,273,2.05
NC,13,0.19,14.43,273,2.26
NHC,14,0.17,15.48,273,2.12
NHC-600-1,1037,0.52,8,273,5.15
NHC-600-2,1187,0.6,6.42,273,5.73
NHC-600-3,1970,0.83,4.21,273,6.32
NHC-600-4,2339,0.8,3.26,273,5.93
NHC-650-1,1593,0.77,5.72,273,6.53
NHC-650-2,1694,0.77,4.64,273,6.28
NHC-650-3,1952,0.85,3.42,273,6.4
NHC-650-4,2492,0.87,2.01,273,6
NHC-700-1,2234,0.94,3.55,273,6.79
NHC-700-2,2241,0.99,2.15,273,6.67
NHC-700-3,2782,1.04,1.96,273,6.54
NHC-700-4,2995,0.94,1.83,273,5.68
NC-650-1,1483,0.61,4.56,273,6.15
P,0.43,0.12,0.2,273,0.55
NP,2.37,0.09,9.16,273,0.77
HNP,0.13,0.11,11.08,273,1.06
HNP-600-2,1479,0.61,3.25,273,5.05
HNP-600-3,1699,0.72,2.68,273,5.89
HNP-600-4,1888,0.76,1.7,273,5.35
HNP-650-2,1394,0.71,2.79,273,5.87
HNP-650-3,2363,0.88,1.61,273,6.24
HNP-650-4,2526,0.84,1.41,273,5.24
HNP-700-2,1703,0.74,2.18,273,5.91
HNP-700-3,2423,0.92,1.34,273,6.24
HNP-700-4,2532,0.59,1.2,273,5.38
NP-650-3,1755,0.75,0.81,273,6.75
P,0.43,0.12,0.2,273,0.55
PN,0.5,0.17,8.34,273,1.18
PN-600-2,1104,0.6,3.64,273,5.8
PN-600-3,1363,0.72,2.74,273,6.08
PN-600-4,1428,0.69,1.65,273,5.89
PN-650-2,1445,0.74,2.72,273,6.41
PN-650-3,1779,0.83,1.87,273,6.6
PN-650-4,1897,0.85,1.28,273,6.62
PN-700-2,1539,0.72,1.59,273,6.05
PN-700-3,2269,0.95,1.22,273,6.38
PN-700-4,2329,0.95,1.01,273,6.21
P-650-2,1108,0.52,0.17,273,4.65
LSM,6,0.11,10.29,273,1.75
LSM-500-1,673,0.35,7.13,273,4.21
LSM-500-2,776,0.4,5.87,273,4.59
LSM-500-3,1368,0.6,3.78,273,5.75
LSM-550-1,1207,0.48,4.02,273,4.77
LSM-550-2,1941,0.86,3.65,273,6.59
LSM-550-3,2131,0.84,3.25,273,6.12
LSM-600-1,1239,0.57,3.21,273,4.34
LSM-600-2,2077,0.85,2.48,273,6.07
LSM-600-3,2534,0.91,1.55,273,5.38
AC,70,0.0422,0.92,273,1.47
NAC-400-1.5,419,0.0724,3.79,273,2.6
NAC-450-1.5,589,0.1032,7.24,273,4.17
NAC-500-1.5,802,0.0976,1.52,273,3.88
NAC-400-2.5,516,0.0732,3.52,273,2.67
