sample,SA,MV,N,T,CO2ad
PN-600-2,1104,0.43,3.64,273,5.8
PN-600-3,1363,0.5,2.74,273,6.08
PN-600-4,1428,0.51,1.65,273,5.89
PN-650-2,1445,0.52,2.72,273,6.41
PN-650-3,1779,0.62,1.87,273,6.6
PN-650-4,1897,0.64,1.28,273,6.62
PN-700-2,1539,0.59,1.59,273,6.05
PN-700-3,2269,0.77,1.22,273,6.38
PN-700-4,2329,0.94,1.01,273,6.21
P-650-2,1108,0.46,0.17,273,4.65
CF-1,422,0.116,11.91,273,3.13
ACF-1,536,0.141,11.02,273,3.21
ACF-2,497,0.116,9.83,273,3.17
ACF-3,691,0.178,9.43,273,3.39
ACF-4,675,0.17,9.31,273,3.57
LSM-500-1,673,0.25,7.13,273,4.21
LSM-500-2,776,0.28,5.87,273,4.59
LSM-500-3,1368,0.51,3.78,273,5.75
LSM-550-1,1207,0.45,4.02,273,4.77
LSM-550-2,1941,0.71,3.65,273,6.59
LSM-550-3,2131,0.78,3.25,273,6.12
LSM-600-1,1239,0.49,3.21,273,4.34
LSM-600-2,2077,0.79,2.48,273,6.07
LSM-600-3,2534,1.06,1.55,273,5.38
AC-CC-P-600,1220,0.25,1.5,273,5.22
AC-CC-P-700,1338,0.31,1.2,273,6.53
AC-CC-P-800,1546,0.37,1,273,7.17
AC-CC-C-800,1678,0.41,0.8,273,9.87
CTS-NaNH2(1:1)-400,67,0.02,8.24,273,1.7
CTS-NaNH2(1:1)-600,1462,0.57,7.23,273,4.98
CTS-NaNH2(1:1)-700,1740,0.73,5.12,273,6.33
CTS-NaNH2(1:1)-800,2398,0.98,3.58,273,4.25
CTS-NaNH2(2:1)-800,1767,0.72,2.73,273,2.89
CTS-NaNH2(1:1)-900,1933,0.51,1.75,273,3.36
C0600,828,0.3,8.47,273,5.19
C2600,963,0.34,10.77,273,5.51
C0700,2217,0.79,4.81,273,6.77
C2700,2408,1.11,7.35,273,6.45
C0800,2399,1.06,1.77,273,6.73
C2800,2658,1.29,2.89,273,5.97
MNC-2-600,1212,0.41,5.48,273,5.09
MNC-3-600,984,0.324,7.93,273,4.62
MNC-2-700,2039,0.734,4.47,273,6.44
MNC-3-700,1738,0.6,6.66,273,5.79
MNC-2-800,2423,0.83,1.49,273,6.01
MNC-3-800,1888,0.62,5.84,273,5.03
NDHPC-0U-700,1560,0.512,4.51,273,5.91
NDHPC-1U-700,1747,0.576,5.24,273,6.04
NDHPC-2U-700,1705,0.565,5.39,273,5.65
NDHPC-3U-700,1872,0.556,6.31,273,5.51
NDHPC-0U-800,1859,0.626,1.48,273,6.24
NDHPC-1U-800,1851,0.637,1.49,273,6.29
NDHPC-2U-800,2395,0.663,1.98,273,5.71
NDHPC-3U-800,2545,0.575,2.25,273,5.36
AC,70,0.02,0.92,273,1.47
NAC-400-1.5,419,0.19,3.79,273,2.6
NAC-450-1.5,589,0.27,7.24,273,4.17
NAC-500-1.5,802,0.37,1.52,273,3.88
NAC-400-2.5,516,0.2,3.52,273,2.67
NAC-450-2.5,1687,0.77,1.89,273,5.22
