sample,SA,N,T,CO2ad
UC-700-3,2232,0.64,298,4.15
UC-700-4,2299,0.29,298,3.8
C-650-2,1088,0.17,298,3.32
AHEP,418,2.6,298,1.4
a-MCN,682.8,14.45,298,2.69
CN-650,601,6.731,298,2.69
CN-750,642,5.491,298,2.93
CN-850,725,2.95,298,3.12
CN-950,1979,4.32,298,4.3
CN-1150,423,0.747,298,2.91
SG-CN(1),1000,2,298,2.34
SG-CN(2),1111,3.4,298,3.34
SG-CN(3),727,3.9,298,3.13
HC,12,2.93,298,1.05
PC-700,1454,1.71,298,3.7
NPC-500,1114,3.8,298,3.59
NPC-600,1311,3.73,298,3.98
NPC-700,1501,2.43,298,4.2
NPC-800,1734,2.03,298,3.77
CS1-6,514,4.1,298,2.5
CS2-6,521,4.8,298,2.8
CS3-6,530,5,298,3
CS1-6A,1224,2.8,298,3.7
CS2-6A,1147,3.05,298,3.9
CS3-6A,1184,3.55,298,4.1
N-CP,38.5,8.9,298,0.34
N-AC-500-2,1152,9.1,298,3.9
N-AC-600-1,1173.8,7.2,298,3.71
N-AC-600-2,1504.8,7.7,298,4.58
N-AC-600-3,1684.4,7.4,298,4.34
N-AC-700-2,1702.2,5.6,298,4.14
SU-MAC-500,941,5.8,298,4.5
SU-MAC-600,1500,4,298,4.18
SU-MAC-800,2369,3.2,298,3.11
BILP-5,626,12.64,298,2
CPC-550,1630,7.88,298,5.8
CPC-600,2059,6.34,298,4.7
CPC-650,2967,5.38,298,4
CPC-700,3242,4.22,298,3.3
CPC-800,2872,1,298,3.1
PFK-650-1,605,14.36,298,2.96
PFK-650-1.5,759,11.98,298,3.28
PFK-650-2,989,9.43,298,3.25
PFK-700-1,1294,12.17,298,3.64
PFK-700-1.5,1757,7.68,298,4.03
PFK-700-2,2106,3.91,298,3.49
PFK-750-1,2032,7.31,298,3.74
PFK-750-1.5,2292,4.01,298,3.1
PFK-750-2,2330,2.92,298,3.08
LC,3.82,1.55,298,1
LCM,4.32,19.68,298,0.46
LCM-500-1,687,7.69,298,3.21
LCM-500-2,1392,5.53,298,3.66
LCM-500-3,1491,3.97,298,3.49
LCM-550-1,1122,6.83,298,3.5
LCM-550-2,1487,4.09,298,3.87
LCM-550-3,2074,3.01,298,3.67
LCM-600-1,1272,4.97,298,3.5
LCM-600-2,2182,3.67,298,3.2
LCM-600-3,2340,2.54,298,2.94
LCM-650-1,1500,3.21,298,3.08
LCM-650-2,1860,2.29,298,2.76
LCM-650-3,2124,1.26,298,2.53
NPC-500,1854,10.3,298,3.7
NPC-600,2208,7.41,298,5.2
NPC-700,2565,4.3,298,4.3
NPC-500,537,5.84,298,3.7
NPC-600,958,3.57,298,3.9
SC,17,3.38,298,0.49
SC-600-2,935,3.68,298,3.63
SC-600-4,1441,5.16,298,4.04
SC-650-2,1117,5.38,298,4.49
SC-650-4,1482,5.06,298,3.87
SC-700-2,1408,3.81,298,3.73
SC-700-4,1577,2.6,298,3.99
C,21,0.26,298,1.53
HC,38,0.34,298,1.57
NC,13,14.43,298,1.76
NHC,14,15.48,298,1.73
NHC-600-1,1037,8,298,4.06
NHC-600-2,1187,6.42,298,3.95
NHC-600-3,1970,4.21,298,4.13
NHC-600-4,2339,3.26,298,3.6
NHC-650-1,1593,5.72,298,4.47
NHC-650-2,1694,4.64,298,4.37
NHC-650-3,1952,3.42,298,4.23
NHC-650-4,2492,2.01,298,3.95
NHC-700-1,2234,3.55,298,4.25
NHC-700-2,2241,2.15,298,3.98
NHC-700-3,2782,1.96,298,3.97
NHC-700-4,2995,1.83,298,3.49
NC-650-1,1483,4.56,298,4.26
NP,2.37,9.16,298,0.55
HNP,0.13,11.08,298,0.86
HNP-600-2,1479,3.25,298,3.56
HNP-600-3,1699,2.68,298,3.95
HNP-600-4,1888,1.7,298,3.29
HNP-650-2,1394,2.79,298,3.98
HNP-650-3,2363,1.61,298,4.13
HNP-650-4,2526,1.41,298,3.28
HNP-700-2,1703,2.18,298,3.82
HNP-700-3,2423,1.34,298,3.49
HNP-700-4,2532,1.2,298,3.22
NP-650-3,1755,0.81,298,4.26
PA-KOH-2-600,1212,2.62,298,3.45
PA-400-KOH-2-600,1473,3.81,298,4.28
PA-500-KOH-2-600,1913,2.32,298,4.02
PA-600-KOH-2-600,1698,2.56,298,3.52
PA-400-KOH-2-500,1123,4.01,298,4.12
PA-400-KOH-2-700,1976,3.11,298,3.93
PA-400-KOH-2-800,2356,1.5,298,3.3
PA-400-KOH-1-600,837,4.84,298,3.61
PA-400-KOH-4-600,2571,2.22,298,3.39
PN,0.5,8.34,298,0.93
PN-600-2,1104,3.64,298,3.94
PN-600-3,1363,2.74,298,4.03
PN-600-4,1428,1.65,298,3.94
PN-650-2,1445,2.72,298,4.57
PN-650-3,1779,1.87,298,4.25
PN-650-4,1897,1.28,298,4.17
PN-700-2,1539,1.59,298,4.25
PN-700-3,2269,1.22,298,3.96
PN-700-4,2329,1.01,298,3.76
P-650-2,1108,0.17,298,3.32
CF-1,422,11.91,298,2.28
ACF-1,536,11.02,298,2.48
ACF-2,497,9.83,298,2.34
ACF-3,691,9.43,298,2.55
ACF-4,675,9.31,298,2.51
LSM,6,10.29,298,1.39
LSM-500-1,673,7.13,298,3.34
LSM-500-2,776,5.87,298,3.57
LSM-500-3,1368,3.78,298,3.93
LSM-550-1,1207,4.02,298,3.27
LSM-550-2,1941,3.65,298,4.25
LSM-550-3,2131,3.25,298,4.06
LSM-600-1,1239,3.21,298,3.02
LSM-600-2,2077,2.48,298,3.46
LSM-600-3,2534,1.55,298,3.23
AC-CC-P-600,1220,1.5,298,4.02
AC-CC-P-700,1338,1.2,298,4.93
AC-CC-P-800,1546,1,298,5.59
C0600,828,8.47,298,3.58
C2600,963,10.77,298,3.8
C0700,2217,4.81,298,4.1
C2700,2408,7.35,298,3.87
C0800,2399,1.77,298,3.85
C2800,2658,2.89,298,3.55
MNC-2-600,1212,5.48,298,3.46
MNC-3-600,984,7.93,298,3.23
MNC-2-700,2039,4.47,298,3.79
MNC-3-700,1738,6.66,298,3.66
MNC-2-800,2423,1.49,298,3.54
MNC-3-800,1888,5.84,298,3.16
NDHPC-0U-700,1560,4.51,298,3.72
NDHPC-1U-700,1747,5.24,298,3.62
NDHPC-2U-700,1705,5.39,298,3.41
NDHPC-3U-700,1872,6.31,298,3.41
NDHPC-0U-800,1859,1.48,298,3.88
NDHPC-1U-800,1851,1.49,298,3.85
NDHPC-2U-800,2395,1.98,298,3.37
NDHPC-3U-800,2545,2.25,298,2.97
AC,70,0.92,298,0.54
NAC-400-1.5,419,3.79,298,1.93
NAC-450-1.5,589,7.24,298,2.53
NAC-500-1.5,802,1.52,298,1.96
NAC-400-2.5,516,3.52,298,1.7
NAC-450-2.5,1687,1.89,298,3.06
NAC-500-2.5,1721,2.54,298,2.15
PDVV-C-600,555.73,1.1,298,2.11
PDVA-C-600,655.78,2.01,298,2.77
PDVA-C-700,782.13,1.88,298,2.85
PDVA-C-800,874.35,1.33,298,3.18
PDVA-C-900,455.45,1.08,298,2.08
PCF-400,383,23.69,298,1.57
PCF-450,398,22.82,298,2.16
PCF-500,486,20.86,298,2.25
PCF-N,49,20.38,298,0.66
ASPC5-2,3007,0.27,298,3.16
